"DATA PENGAJUAN SERTIFIKAT"

"Kode Pengajuan";SERT-20260526-0001
"Tanggal Pengajuan";"26-05-2026 06:16:07"
;
"Judul Kegiatan";"Kegiatan Anak Remaja"
"Tanggal Kegiatan";2026-05-06
"Lokasi Kegiatan";"Fakultas Industri Kreatif"
"Nama PIC";Sari
NIM;1234567891
"Nama Mahasiswa";"Sari Indah"
"Program Studi";"Film & Animasi"
"Deskripsi Kegiatan";"Kegiatan Anak Remaja Kegiatan Anak RemajaKegiatan Anak RemajaKegiatan Anak Remaja Kegiatan Anak Remaja Kegiatan Anak Remaja"
"Catatan Tambahan";"Kegiatan Anak Remaja"
